Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
307901,86186380,8192,8192,0,79.831,3463.92,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,44.7597,170,0,0,0,0
308129,86186380,8192,8192,0,79.219,2961.05,1000,0,0,0,0,0,0,0,12,1000,16,0,32,16,1359248,20176,0,47.7664,170,0,0,0,0
308397,86186380,8192,8192,0,78.835,3246.38,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,37.9811,170,0,0,0,0
308667,86186380,8192,8192,0,78.827,3721.93,1000,0,0,0,0,0,0,0,12,1200,0,0,0,0,1632000,0,0,48.3977,170,0,0,0,0
308896,86186380,8192,8192,0,78.831,3600,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1077120,0,0,37.6548,170,0,0,0,0
309169,86186380,8192,8192,0,78.731,3515.16,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,40.0628,170,0,0,0,0
309455,86186380,8192,8192,0,78.788,3847.84,1000,0,0,0,0,0,0,0,12,1248,0,0,0,0,1697280,0,0,47.5608,170,0,0,0,0
309673,86186380,8192,8192,0,78.839,4260.36,1000,0,0,0,0,0,0,0,12,838,0,0,0,0,1139492,0,0,41.8498,170,0,0,0,0
309933,86186380,8192,8192,0,79.511,3553.4,1000,0,0,0,0,0,0,0,12,914,0,0,0,0,1243040,0,0,38.1958,170,0,0,0,0
310174,86186380,8192,8192,0,78.977,4956.53,1000,0,0,0,0,0,0,0,12,959,1,0,0,0,1304052,1261,0,43.2015,170,0,0,0,0
310479,86186380,8192,8192,0,78.782,3821.23,1000,0,0,0,0,0,0,0,12,1082,0,0,2,1,1471520,0,0,38.6349,170,0,0,0,0
310738,86186380,8192,8192,0,78.738,4285.72,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272960,0,0,39.2937,170,0,0,0,0
311016,86186380,8192,8192,0,78.706,2758.63,1000,0,0,0,0,0,0,0,12,1465,0,0,0,0,1991084,0,0,57.3133,170,0,0,0,0
311177,86186380,8192,8192,0,78.998,3657.76,1000,0,0,0,0,0,0,0,12,887,0,0,0,0,1206320,0,0,60.1701,170,0,0,0,0
311370,86186380,8192,8192,0,78.827,3386.15,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,36.4256,170,0,0,0,0
311649,86186380,8192,8192,0,78.714,4705.88,1000,0,0,0,0,0,0,0,12,1104,0,0,0,0,1501440,0,0,43.0012,170,0,0,0,0
311887,86186380,8192,8192,0,79.17,4549.02,1000,0,0,0,0,0,0,0,12,888,0,0,0,0,1207680,0,0,40.6044,170,0,0,0,0
312140,86186380,8192,8192,0,79.069,3465.25,1000,0,0,0,0,0,0,0,12,1128,0,0,0,0,1534080,0,0,48.6049,170,0,0,0,0
