Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
411676,468301425,7381,8192,231,78.979,3828,1000,1039,0,0,0,1412852,0,47.1646,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
411968,468301425,7551,8192,224,78.869,3387.31,1000,1001,0,0,0,1361360,0,37.3583,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
412198,468301425,7303,8192,264,78.932,3498.61,1000,1008,0,0,0,1369564,0,47.5909,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
412433,468301425,7550,8192,271,78.998,3592.85,1000,912,0,0,0,1240320,0,42.1177,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
412700,468301425,7551,8192,224,79.26,3889.57,1000,1056,0,0,0,1436160,0,43.0697,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
412902,468301425,7494,8192,479,79.05,4102.52,1000,1032,0,0,0,1402392,0,55.6693,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
413108,468301425,7159,8192,299,78.823,3816.9,1000,995,0,0,0,1353012,0,52.347,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
413350,468301425,7614,8192,421,78.722,3512.6,1000,987,0,0,0,1340816,0,44.4881,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
413566,468301425,7302,8192,287,78.766,3788.39,1000,994,0,0,0,1351840,0,50.0394,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
413856,468301425,7615,8192,288,78.772,3264.61,1000,1008,0,0,0,1370880,0,37.8165,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
414104,468301425,7495,8192,288,79.042,3622.92,1000,984,0,0,0,1338052,0,43.0403,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
414312,468301425,7495,8192,456,79.021,3979.76,1000,1008,0,0,0,1370316,0,52.8801,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
414626,468301425,7615,8192,288,79.119,3761.34,1000,1008,0,0,0,1370880,0,34.8441,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
